Year_name;;Offshore_WT
2025;1;3.1981247874893026
2025;2;3.1981247874893026
2025;3;3.1981247874893026
2025;4;3.1981247874893026
2025;5;3.1981247874893026
2025;6;3.1981247874893026
2025;7;3.1981247874893026
2025;8;3.1981247874893026
2025;9;3.154920785857091
2025;10;3.0829141164700684
2025;11;3.0695414492981934
2025;12;3.030452114488096
2025;13;2.98004744591718
2025;14;3.0067927802609313
2025;15;3.0561687821263175
2025;16;3.070570116003722
2025;17;3.1292041182188686
2025;18;3.1981247874893026
2025;19;3.1981247874893026
2025;20;3.1981247874893026
2025;21;3.1981247874893026
2025;22;3.1981247874893026
2025;23;3.1981247874893026
2025;24;3.1981247874893026
2025;25;3.1981247874893026
2025;26;3.1981247874893026
2025;27;3.1981247874893026
2025;28;3.1981247874893026
2025;29;3.1981247874893026
2025;30;3.1981247874893026
2025;31;3.1981247874893026
2025;32;3.1981247874893026
2025;33;3.1981247874893026
2025;34;3.1981247874893026
2025;35;3.124060784691224
2025;36;2.988276779561412
2025;37;2.8967254427693403
2025;38;2.8535214411371275
2025;39;2.8154607730325587
2025;40;2.7547694374063543
2025;41;2.6467594333258218
2025;42;2.4945167609075463
2025;43;2.330958754728454
2025;44;2.185916749248881
2025;45;2.097451412573397
2025;46;2.098480079278926
2025;47;2.1643147484327745
2025;48;2.225006084058979
2025;49;2.25175141840273
2025;50;2.2270634174700366
2025;51;2.169458081960419
2025;52;2.1262540803282057
2025;53;2.0892220789291653
2025;54;2.0285307433029613
2025;55;1.9287500728666604
2025;56;1.7981094012644914
2025;57;1.6633540628402073
2025;58;1.5584300588762607
2025;59;1.4627640552620744
2025;60;1.379442052114235
2025;61;1.3588687180036574
2025;62;1.4288180539796214
2025;63;1.5512293919375586
2025;64;1.576946059575781
2025;65;1.5008247233666436
2025;66;1.4391047210349104
2025;67;1.4627640552620749
2025;68;1.5008247233666436
2025;69;1.5430000582933276
2025;70;1.6129493942692918
2025;71;1.738446732343816
2025;72;1.8299980691358866
2025;73;1.8937754048786777
2025;74;1.952409407093824
2025;75;2.0532187442356546
2025;76;2.210604750181574
2025;77;2.4235387582260532
2025;78;2.639558766387119
2025;79;2.809288772799385
2025;80;2.8617507747813584
2025;81;2.821632773265732
2025;82;2.782543438455634
2025;83;2.7907727720998654
2025;84;2.8339767737320787
2025;85;2.8977541094748696
2025;86;2.9625601119231892
2025;87;3.0263374476659797
2025;88;3.0849714498811265
2025;89;3.164178786206851
2025;90;3.1981247874893026
2025;91;3.1981247874893026
2025;92;3.196067454078246
2025;93;3.168293453028966
2025;94;3.1981247874893026
2025;95;3.1981247874893026
2025;96;3.1981247874893026
2025;97;3.1981247874893026
2025;98;3.1981247874893026
2025;99;3.1981247874893026
2025;100;3.1981247874893026
2025;101;3.1981247874893026
2025;102;3.1981247874893026
