Year_name;;Offshore_ElZ
2025;1;0.005362832114394755
2025;2;0.005362832114394755
2025;3;0.005362832114394755
2025;4;0.005362832114394755
2025;5;0.005362832114394755
2025;6;0.005362832114394755
2025;7;0.005362832114394755
2025;8;0.005362832114394755
2025;9;0.005290384720118598
2025;10;0.005169639062991664
2025;11;0.005147214869525235
2025;12;0.0050816672270849
2025;13;0.004997145267096046
2025;14;0.005041993654028907
2025;15;0.005124790676058803
2025;16;0.005148939807484191
2025;17;0.005247261271144692
2025;18;0.005362832114394755
2025;19;0.005362832114394755
2025;20;0.005362832114394755
2025;21;0.005362832114394755
2025;22;0.005362832114394755
2025;23;0.005362832114394755
2025;24;0.005362832114394755
2025;25;0.005362832114394755
2025;26;0.005362832114394755
2025;27;0.005362832114394755
2025;28;0.005362832114394755
2025;29;0.005362832114394755
2025;30;0.005362832114394755
2025;31;0.005362832114394755
2025;32;0.005362832114394755
2025;33;0.005362832114394755
2025;34;0.005362832114394755
2025;35;0.005238636581349911
2025;36;0.005010944770767697
2025;37;0.004857425292420596
2025;38;0.004784977898144437
2025;39;0.004721155193663058
2025;40;0.004619383854084644
2025;41;0.004438265368394246
2025;42;0.00418297455046873
2025;43;0.003908709414994698
2025;44;0.0036654931627818775
2025;45;0.003517148498311647
2025;46;0.0035188734362706026
2025;47;0.003629269465643798
2025;48;0.003731040805222213
2025;49;0.0037758891921550737
2025;50;0.0037344906811401252
2025;51;0.003637894155438579
2025;52;0.0035654467611624194
2025;53;0.003503348994639996
2025;54;0.003401577655061582
2025;55;0.0032342586730428344
2025;56;0.003015191552255399
2025;57;0.002789224679632139
2025;58;0.002613281007818609
2025;59;0.0024528617776356843
2025;60;0.0023131418029602342
2025;61;0.002278643043781111
2025;62;0.0023959388249901303
2025;63;0.0026012064421059157
2025;64;0.0026443298910798206
2025;65;0.0025166844821170637
2025;66;0.0024131882045796927
2025;67;0.0024528617776356848
2025;68;0.0025166844821170637
2025;69;0.002587406938434266
2025;70;0.0027047027196432866
2025;71;0.0029151451506359404
2025;72;0.0030686646289830397
2025;73;0.0031756107824383235
2025;74;0.003273932246098825
2025;75;0.00344297616607653
2025;76;0.0037068916737968255
2025;77;0.004063953831300754
2025;78;0.004426190802681551
2025;79;0.0047108055659093205
2025;80;0.004798777401816086
2025;81;0.004731504821416795
2025;82;0.0046659571789764605
2025;83;0.00467975668264811
2025;84;0.004752204076924269
2025;85;0.004859150230379553
2025;86;0.004967821321793792
2025;87;0.005074767475249074
2025;88;0.005173088938909577
2025;89;0.005305909161749203
2025;90;0.005362832114394755
2025;91;0.005362832114394755
2025;92;0.0053593822384768435
2025;93;0.005312808913585027
2025;94;0.005362832114394755
2025;95;0.005362832114394755
2025;96;0.005362832114394755
2025;97;0.005362832114394755
2025;98;0.005362832114394755
2025;99;0.005362832114394755
2025;100;0.005362832114394755
2025;101;0.005362832114394755
2025;102;0.005362832114394755
2025;103;0.005362832114394755
2025;104;0.005362832114394755
2025;105;0.005362832114394755
2025;106;0.005362832114394755
2025;107;0.005300734347872333
2025;108;0.0051127161103461105
2025;109;0.0049954203291370895
2025;110;0.004848800602625816
2025;111;0.004759103828760095
2025;112;0.004729779883457838
2025;113;0.004667682116935417
2025;114;0.004628008543879424
2025;115;0.004581435218987607
2025;116;0.004543486583890572
2025;117;0.004567635715315958
2025;118;0.004605584350412994
2025;119;0.0044951883210398
2025;120;0.004352018470446435
2025;121;0.004179524674550818
2025;122;0.004005305940696245
2025;123;0.003813837827252108
2025;124;0.003601670458300499
2025;125;0.003418827034651145
2025;126;0.003260132742427175
2025;127;0.0031859604101920603
2025;128;0.003125587581628594
2025;129;0.0030220913040912233
2025;130;0.002875471577579948
2025;131;0.002692628153930593
2025;132;0.002547733365378274
2025;133;0.0025425585515014056
2025;134;0.0026063812559827845
2025;135;0.0026357052012850398
