Year_name,,PV,Onshore_wind
2025,1,0.0,1.0286256164981098
2025,2,0.0,1.7143760274968494
2025,3,0.0,1.7753316195856264
2025,4,0.0,1.8553358342021458
2025,5,0.0,1.9124817017853741
2025,6,0.0,1.9429594978297626
2025,7,0.0,1.9391497733242142
2025,8,0.0,1.5554708500343497
2025,9,0.0,2.0572512329962196
2025,10,0.0,2.1105873760738993
2025,11,0.0,2.1563040701404814
2025,12,0.0,2.3010736013513267
2025,13,0.1872544850769625,2.3239319483846175
2025,14,0.26459872891309916,2.1588648463636853
2025,15,0.4111457172342003,2.141065172118288
2025,16,0.36636747080275267,2.1067776515683505
2025,17,0.0,2.2972638768457783
2025,18,0.0,2.544895969706434
2025,19,0.0,2.655377980367342
2025,20,0.0,2.7887183380615417
2025,21,0.0,2.8611031036669643
2025,22,0.0,0.2944554437416072
2025,23,0.0,2.883961450700255
2025,24,0.0,2.4234635752767844
2025,25,0.0,2.7239530214672163
2025,26,0.0,2.7125238479505707
2025,27,0.0,2.743001643994959
2025,28,0.0,0.5119024569692419
2025,29,0.0,2.6782363274006333
2025,30,0.0,2.670616878389536
2025,31,0.0,2.655377980367342
2025,32,0.0,2.6287099088285024
2025,33,0.0,2.5982321127841144
2025,34,0.09362724253848125,2.5067987246509484
2025,35,0.38265046950509723,2.2667860808013898
2025,36,0.6268954500402657,2.0458220594795735
2025,37,0.7734424383613668,2.0496317839851224
2025,38,0.8222914344684006,2.0496317839851224
2025,39,0.7245934422543331,1.9201011507964714
2025,40,0.3012354759933744,1.7486635480467865
2025,41,0.0,1.8439066606855001
2025,42,0.0,1.8477163851910485
2025,43,0.0,1.7143760274968494
2025,44,0.0,1.5581773227693585
2025,45,0.0,1.4095980670529649
2025,46,0.0,1.3105452299087024
2025,47,0.0,1.2800674338643143
2025,48,0.0,1.272447984853217
2025,49,0.0,1.2495896378199258
2025,50,0.0,1.2191118417755373
2025,51,0.0,1.1772048722145032
2025,52,0.0,1.1314881781479205
2025,53,0.0,1.1162492801257262
2025,54,0.0,1.1010103821035322
2025,55,0.0,1.0781520350702407
2025,56,0.0,0.07511354193100844
2025,57,0.0,0.9714797489148813
2025,58,0.12619323994317036,0.8876658097928132
2025,59,0.43964096496330324,0.7848032481430022
2025,60,0.663532197120541,0.6514628904488027
2025,61,0.7042396938764022,0.6819406864931912
2025,62,0.74901794030785,0.6933698600098368
2025,63,0.5617634552308876,0.6933698600098368
2025,64,0.30530622566896054,0.7657546256152594
2025,65,0.0,0.9181436058372014
2025,66,0.0,0.9943380959481727
2025,67,0.0,0.9714797489148813
2025,68,0.0,0.9067144323205559
2025,69,0.0,0.8038518706707449
2025,70,0.0,0.6552726149543512
2025,71,0.0,0.46097666517137503
2025,72,0.0,0.46859611418247216
2025,73,0.0,0.6476531659432543
2025,74,0.0,0.7047990335264824
2025,75,0.0,0.6286045434155115
2025,76,0.0,0.5257419817657005
2025,77,0.0,0.5905072983600259
2025,78,0.0,0.7809935236374536
2025,79,0.0,1.0362450655092068
2025,80,0.0,1.3143549544142512
2025,81,0.0,1.478173108152839
2025,82,0.07734424383613668,1.4819828326583877
2025,83,0.3378722230736497,1.3029257808976054
2025,84,0.6513199480937826,1.1848243212256004
2025,85,1.5916631231541811,1.2495896378199258
2025,86,1.5387433773715613,1.3981688935363195
2025,87,0.9606969234383291,1.539128700241616
